Zone,Channel Name,Power,RX Freq,TX Freq,Color Code,Talk Group,TimeSlot,Call Type,TX Permit
Wes HS 438.0125,Wes CascadesE,Low,438.0125,438.0125,7,CascadeEast,1,Group Call,Always
Wes HS 438.0125,Wes CA State,Low,438.0125,438.0125,7,CA State,1,Group Call,Always
Wes HS 438.0125,Wes I-5,Low,438.0125,438.0125,7,I-5,1,Group Call,Always
Wes HS 438.0125,Wes ID State,Low,438.0125,438.0125,7,ID State,1,Group Call,Always
Wes HS 438.0125,Wes OR State,Low,438.0125,438.0125,7,OR State,1,Group Call,Always
Wes HS 438.0125,Wes Parrot,Low,438.0125,438.0125,7,Parrot,1,Group Call,Always
Wes HS 438.0125,Wes PNW 1,Low,438.0125,438.0125,7,PNW 1,1,Group Call,Always
Wes HS 438.0125,Wes PNWR,Low,438.0125,438.0125,7,PNWR,1,Group Call,Always
Wes HS 438.0125,Wes TAC-1,Low,438.0125,438.0125,7,TAC 1,1,Group Call,Always
Wes HS 438.0125,Wes TAC-2,Low,438.0125,438.0125,7,TAC 2,1,Group Call,Always
Wes HS 438.0125,Wes TAC-8,Low,438.0125,438.0125,7,TAC 8,1,Group Call,Always
Wes HS 438.0125,Wes TAC-310,Low,438.0125,438.0125,7,TAC 310,1,Group Call,Always
Wes HS 438.0125,Wes USA-Wide,Low,438.0125,438.0125,7,USA-wide,1,Group Call,Always
Wes HS 438.0125,Wes WA 2,Low,438.0125,438.0125,7,WA 2,1,Group Call,Always
Wes HS 438.0125,Wes WA State,Low,438.0125,438.0125,7,WA State,1,Group Call,Always
Wes HS 438.0125,Wes WW 91,Low,438.0125,438.0125,7,91_WW,1,Group Call,Always
Wes BM Control,Wes 9 Local/Ref,Low,438.0125,438.0125,7,TG 9,1,Group Call,Always
Wes BM Control,Wes 4000 Disc,Low,438.0125,438.0125,7,4000_Disconn,1,Group Call,Always
